playerid,source_player_name
1019,Nikolaj Ehlers
1027,Timo Meier
1029,Cavan Fitzgerald
1042,J.T. Miller
1049,Chris Kreider
1055,Kevin Hayes
1061,Connor McDavid
1062,Ivan Provorov
1063,Jack Eichel
48510,Sam Caulfield
1065,Jonas Siegenthaler
1066,Roope Hintz
48583,Brody George
48589,Sammy Nelson
48591,Victor Plante
48592,Casey Mutryn
57024,Alexander Lisi
57031,Jake Murray
57034,Matthew Henderson
57036,Brandt Rooyakkers
36,Mark Stone
38,Mika Zibanejad
57040,Dante D'Andrea
57051,Carter Beauchesne
57128,Matthew Perreault
57129,Logan Massimi
57130,Jeremy Freeman
57131,Brayden Bennett
57135,Ty Robar
57143,Max Delisle
57149,Evan Nicholson
40,Cody Ceci
43,Erik Karlsson
102,Nick Leddy
103,Travis Hamonic
108,Matt Martin
109,Ryan Strome
111,Anders Lee
57156,Noah La Gambina
57158,Aleks Kulemin
57161,Lincoln Edwards
57162,Peter Green
57164,Charlie Murata
57238,Braeden Van Gelder
57251,Mikhail Zakharov
57266,Jason Tremblay
57271,Josh Giordano
57272,Philip Govedaris
57292,Cole Emerton
57335,Josh Bonnyman
57345,Illia Shybinskyi
57399,Jack Yates
57520,Devran Brown
112,Brock Nelson
113,Calvin De Haan
40888,Markus Jakobsen
41044,Stepan Cerny
44023,Sam Madgett
44025,Eddy Doyle
115,Casey Cizikas
119,John Tavares
130,Max Pacioretty
45669,Olivier Metcalfe
45745,William Lacelle
28101,Mazden Leslie
28429,Dawson Seitz
30260,Charlie Paquette
30286,Marco Mignosa
30372,James Petrovski
31304,Dylan Edwards
31305,Noah Roberts
31413,Wyatt Kennedy
48593,Jamie Glance
48594,Aurelio Garcia
48597,Kane Johnson
48598,Mikey Berchild
48600,Lukas Zajic
48603,Parker Trottier
48605,Dain Gordon
48606,Logan Stuart
48607,Dakotah Bailey
48609,AJ Francisco
48611,Abe Barnett
48613,Wyatt Cullen
48615,Nate Celski
48617,Luke Carrithers
48827,Sigvald Ebersold
48832,Ty Bergeron
50293,Drew Waterfield
50369,Max Rider
50370,Harper Searles
50371,Darian Anderson
50373,John Hirschfeld
50374,Lefty Markonidis
50375,William Prowse
50376,Erick Comstock
50379,Arseni Marchenko
50434,Teo Toubans Besnier
50443,Joseph Fenton
50445,Kole Hyles
50447,Jason Musa
50453,Aiden McKenna
31768,Gavin Ewles
31858,Ben Pickell
57558,Sean Matthew Goyette
57606,Will Mullins
57673,Sawyer Schmidt
57681,Drew Roscoe
57694,Mark Pape
57713,Lucas Johnson
58174,Joseph Salandra
58175,Jaxon Williams
58336,Connor Haffner
58550,Heath Bogart
58563,Hayden Martin
58583,David Greene
58630,Joey Banas
59806,Brenner Lammens
59808,Zack Irvin
59809,Alex Campeau
59810,Maksim Sokolovskii
59811,Seth Ronan
45860,Marek Danicek
45862,Olivier Groulx
45909,Gabriel Séguin
45914,Jordan Labelle
46000,Danai Shaiikov
450,Seth Jones
451,Calle Jarnkrok
462,Ryan Reaves
463,Ian Cole
1070,Mikko Rantanen
1071,Brandon Carlo
1072,Sebastian Aho
1078,Pavel Zacha
1083,Dylan Strome
1086,Anthony Beauvillier
1087,Travis Konecny
1089,Jake DeBrusk
1092,Oliver Kylington
1097,Rasmus Andersson
1098,Noah Juulsen
30233,Alex Pharand
44721,Brody Partridge
44722,Brennan Faulkner
44723,Carson Cameron
44724,Ihnat Pazii
59846,Ryan Kaczynski
59847,Harris Pangretitsch
29468,Connor Brown
31825,Melker Morin
31834,Tobias Ohman
31850,Matvey Butkovskiy
31851,Ville Vaarala
32472,Owen Buesgens
32477,Jack Christ
32480,Gavin Uhlenkamp
48619,David Bosco
29104,Adam Jecho
29767,Alex Weiermair
29797,Rylan Gould
29806,Harrison Lodewyk
30114,Nic Sima
29776,Trae Johnson
30172,Matthew Soto
30174,Christopher Thibodeau
30176,James Guo
30180,Alex Assadourian
30189,Justin Cloutier
30232,Noah Nelson
59848,Quinn McKenzie
133,Lars Eller
140,Brendan Gallagher
147,Derek Forbort
148,Tanner Pearson
151,Anze Kopitar
152,Trevor Lewis
155,Tyler Toffoli
159,Drew Doughty
161,Alec Martinez
164,Jonathan Quick
170,Brayden McNabb
174,Sean Monahan
176,Mikael Backlund
1116,Mitchell Stephens
1133,Nick Cousins
1134,Sean Couturier
1139,Claude Giroux
1140,Shayne Gostisbehere
59849,Noah Laus
1143,Scott Laughton
1152,Brayden Schenn
1153,Luke Schenn
29675,Jordan Tourigny
29679,Justin Gendron
29681,Justin Larose
29688,Dylan MacKinnon
29710,Maxime Coursol
29717,Marc-Olivier Beaudry
29718,Tyler Peddle
29719,Matteo Rotondi
59850,Mykhailo Haponenko
60049,Zack Naish
46081,Max Lapointe
46087,Zackarie Michaud
46089,Ryan Dwyer
1110,Nicolas Roy
1174,Justin Faulk
1182,Elias Lindholm
1195,Jeff Skinner
1224,Adam Larsson
1230,Damon Severson
1375,Morgan Rielly
60050,Dylan Lee-Stack
60051,Cooper McAslan
29780,Matteo Danis
29788,Logan Wormald
29790,Misha Volotovskii
60052,Ian Inskip
60053,Zack Bleick
60054,Bryson Morgan
60069,Kieran Raynor
46104,Luke Sinclair
1376,Bryan Rust
1383,Garrett Wilson
1386,Mats Zuccarello
1393,Sam Carrick
60122,Shane Neusteter
195,Sam Bennett
199,Jordan Martinook
207,Oliver Ekman-Larsson
218,Connor Murphy
234,Brent Burns
235,Marc-Edouard Vlasic
237,Brenden Dillon
245,Tomas Hertl
247,Barclay Goodrow
249,Matt Nieto
273,Christopher Tanev
274,Bo Horvat
299,Josh Manson
302,Pat Maroon
304,Kyle Palmieri
305,Corey Perry
30380,Matthew Andonovski
30389,Joseph Costanzo
30390,Mason Vaccari
30392,Sebastien Gervais
30546,Chase Coughlan
30867,Lucas Moore
30902,Noah Erliden
30905,Jesse Nurmi
31096,Cooper Foster
1201,Chris Terry
1205,Sam Reinhart
1209,Joel Armia
1216,Jake McCabe
1259,Andre Burakovsky
1260,John Carlson
1266,Philipp Grubauer
1268,Marcus Johansson
1273,Liam O'Brien
1276,Alex Ovechkin
29825,Preston Lounsbury
29829,Justin Boisselle
30379,Émile Duquet
30452,Natan Éthier
30720,Simon-Pier Brunet
30968,Xavier Daigle
31186,Luke Patterson
36146,Lukas Fischer
1278,Nate Schmidt
31271,Alex Mercier
31816,Max Vilen
33219,Samuel Kupec
33284,Jiri Klima
33369,Peteris Bulans
33451,Olivier Théberge
33153,Carl Axelsson
33163,Isak Forslund
39792,Michael Barron
39823,Waylon Esche
39956,Morgan Brady
39998,Eetu Orpana
1281,Tom Wilson
1282,Andrew Agozzino
40022,Max Weilandt
40023,Ryan Kroll
40024,Eero Butella
42003,Jackson Nevers
44301,Carter Frankiw
44361,Aaron Reierson
36413,Kevin He
36414,William Eggleton
36417,Ryerson Leenders
44366,Lincoln Hjelm
1284,Josh Anderson
44374,Cody Butikis
60123,Olivier Romain
1197,Jordan Staal
1286,Viktor Arvidsson
1305,Stefan Noesen
50553,Jack O'Brien
50580,Luke Norcross
50591,Jackson Potulny
52096,Eli Simmard
52098,Luca Jarvis
52356,Tobias Trejbal
52536,Dexter Brooks
52537,Blake Zielinski
52540,Vince Kalscheur
52877,Brady Cunningham
52973,Cruz Martin
306,Rickard Rakell
309,Cam Fowler
320,John Gibson
321,Frederik Andersen
322,Hampus Lindholm
330,Jamie Benn
339,Tyler Seguin
349,Valeri Nichushkin
358,Matt Duchene
359,Ryan O'Reilly
361,Gabriel Landeskog
363,Tyson Barrie
366,Erik Johnson
32362,Kelton Pyne
32370,Jayden Kraus
245,Tomas Hertl
1315,Sidney Crosby
36419,Braydon McCallum
36420,Jack Van Volsen
36424,Cole Beaudoin
36425,David Bedkowski
1317,Phillip Danault
1319,Jonathan Drouin
1320,Anthony Duclair
1321,Matt Dumba
1322,Brian Dumoulin
1330,Kevin Fiala
1331,Marc-Andre Fleury
1345,William Karlsson
1348,John Klingberg
1351,Brett Kulak
1446,Jake Evans
36426,Ben Danford
36429,Ethan Toms
36438,Christian Humphreys
36442,Jacob Battaglia
36443,Gabriel Frasca
36447,Ben Cormier
36451,Carter Lowe
36251,Jeremy Leroux
36252,Maxim Massé
36262,Bill Zonnon
36265,Nathan Brisson
42005,Easton Jacobs
42068,JJ Salajko
42125,Drew Stewart
42127,Carson Pilgrim
42161,Alex Lunski
42221,Garin Ludwig
42243,Daniel D'Alessandro
42248,Owen Lepak
42273,Colin Frank
42284,Roberto Leonardo Henriquez
42285,Michal Pradel
42295,Jakub Dubravik
42307,Dallas Vieau
36269,Éloi Bourdeau
36272,Jean-Félix Lapointe
44083,Jonathan Prud'homme
44084,Colby Train
44085,Raphaël Précourt
44086,Nathan Lecompte
44087,Alex Huang
44257,Gryphon Bucci
44274,Owen Bresson
40027,Brett Calhoon
40028,Caleb Matthews
40038,Tobias Tomik
40141,Koen Cleaver
40153,Landen McFadden
46755,Olivier Duhamel
40262,Will Sharpe
40278,Kadon McCann
40279,Cameron Schmidt
40282,Owen Martin
36453,Kieron Walton
36456,Conor Walton
36461,Christopher Brown
42317,David Rozsival
60129,Vladislav Yermolenko
1455,Artturi Lehkonen
1457,Michael McCarron
60198,Rowen Sang
40261,Mattias Gilbert
368,Calvin Pickard
369,Semyon Varlamov
378,Nathan MacKinnon
380,Jonas Brodin
382,Mikael Granlund
32345,Charlie Robertson
44396,Samuel Boisvert
44401,Connor Haynes
44423,Connor MacPherson
119,John Tavares
133,Lars Eller
140,Brendan Gallagher
147,Derek Forbort
41186,Nik Young
44467,Harper Frey
44526,Kazumo Sasaki
44752,Maceo Phillips
45676,Liam Ladds
45706,Jared Woolley
45707,Ben Hrebik
45744,Isaac Gravelle
60263,Blake Munnings
60264,Luc Gauvreau
60315,Tyler Cooper
60356,Tyler Hinde
60495,Landon Jackman
60784,Kaden McGregor
60927,Lyndon Cabral
61369,Mateu Späth
1470,Connor Brown
1497,William Nylander
1507,Dominic Toninato
1519,Joey Daccord
1524,Andreas Englund
390,Jared Spurgeon
392,Darcy Kuemper
393,Ryan Suter
398,Nino Niederreiter
402,Jason Zucker
405,Charlie Coyle
412,Brandon Saad
414,Patrick Kane
427,Trevor van Riemsdyk
428,Ryan Hartman
436,Craig Smith
440,Mattias Ekholm
441,Roman Josi
449,Filip Forsberg
450,Seth Jones
451,Calle Jarnkrok
462,Ryan Reaves
463,Ian Cole
465,Alex Pietrangelo
467,Jake Allen
471,Jaden Schwartz
472,Vladimir Tarasenko
484,Tyler Myers
487,Mark Scheifele
498,Jacob Trouba
499,Ben Chiarot
500,Adam Lowry
502,Petr Mrazek
514,Brendan Smith
518,Luke Glendening
523,Gustav Nyquist
524,Tomas Tatar
533,Brad Marchand
537,Dougie Hamilton
541,Reilly Smith
544,David Pastrnak
550,Rasmus Ristolainen
552,Nicolas Deslauriers
566,Evander Kane
567,Zach Bogosian
48621,Nate Pederson
32548,Sam Spehar
40290,Ethan Weber
40297,Hayden Paupanekis
40668,Seth Fryer
61481,Sarvir Jaworski
61798,Quinn Kipfer
61859,Karsten Barbeau
61861,Gensen Geldart
61973,Carter Lewandowski
46791,Lucas Beckman
1530,Ben Harpur
1531,Marcus Hogberg
1532,Christian Jaros
1589,Chandler Stephenson
569,Marcus Foligno
48625,Tyler Martyniuk
36470,Caden Kelly
36474,Justin Bottineau
48626,Kade Meyer
48627,Jackson Marthaler
48628,Kaiden Donia
48629,Jonas Kemps
48630,Logan Lutner
48635,Luke Schairer
48637,Brady Knowling
48738,Evan Malkhassian
48792,Gunner Gullstrand
61889,Tyler Deakos
36476,Callum Cheynowski
61890,Luke Dubsky
61891,Houston Smith
62143,Austin Brekelmens
62232,Maksim Yakub
62363,Griffin Davis
62448,Braydon Sisco
36477,Marek Vanacker
36479,Jett Luchanko
36502,Braedyn Rogers
61985,Callan Newton
62074,Cruz Reznik
62238,Parker Smith
62387,Robert Matson
62450,Alexander Karmanov
62454,Quinn Patton
62459,Kale Osipenko
62471,Kingston Harris
62578,Charlie Ashcroft
62682,Patrik Ula
62755,Jake Ritson
62775,Eloan Le Gallic
62473,Ilya Gromov
62479,Rylan Bydal
62480,Benjamin Knutson
62915,Ian Robinson
62946,Lucas Nutting
62949,Chase Sewell
63197,Cooper Bordeaux
29726,Vincent Collard
29728,Maël Lavigne
29740,Alexis Bourque
32404,Shawn Pearson
32615,Thomas Verdon
32969,Maxime Côté
33140,Samuel Fiala
34984,Antoine Dorion
35153,Max Jardine
35694,Adam Cavallin
36221,Eliot Ogonowski
36225,Mathis Langevin
36226,Félix Lacerte
36273,Gabriel D'Aigle
36278,Maxime Lafond
571,Nikita Zadorov
575,Zemgus Girgensons
599,Dustin Tokarski
610,Nazem Kadri
615,James Reimer
617,James van Riemsdyk
625,Ondrej Palat
633,Steven Stamkos
635,Radko Gudas
207,Oliver Ekman-Larsson
218,Connor Murphy
234,Brent Burns
237,Brenden Dillon
320,John Gibson
321,Frederik Andersen
322,Hampus Lindholm
330,Jamie Benn
339,Tyler Seguin
358,Matt Duchene
62626,Brayten Bauer
62629,Karter Lundmark
62684,Cameron Holyoke
62701,Mark Evans
62730,Tyler Potter
62909,Quinn Beumer
62910,Brian Cooke
62916,Elliot Lennon
62950,Will Schlechtweg
47426,Filip Vlk
1694,Marcus Pettersson
44756,Joey Slavick
36315,Gavin Cornforth
36318,Eliott Simard
36320,Spencer Gill
36321,Quinn Kennedy
36322,Anthony Paré
36323,Julien Lanthier
36324,Olivier Lemieux
36326,Connor Dale
1705,Michael Bunting
1706,Kyle Capobianco
27993,Brady Birnie
28437,Sam Oremba
28822,Austin Zemlak
28824,Shane Smith
29100,Dominik Petr
29831,Coster Dunn
29846,Ryan Michael
29847,Caden Brown
29850,Kooper Gizowski
29852,Ethan Semeniuk
29855,Ty Halaburda
29856,Reggie Newman
29858,Anthony Wilson
31725,Tarin Smith
31744,Ashton Cumby
31758,Ethan Moore
31773,Marek Howell
33278,Samuel Drancak
33283,Adam Hlinsky
33304,Chase Valliant
33305,Lynden Lakovic
33332,Marek Schlenker
33380,Ephram McNutt
34458,Aiden Ziprick
34496,Brayden Dube
36074,Keith McInnis
36249,Riley Bassen
36282,Grady Martin
36283,Justice Christensen
36285,Connor Schmidt
36286,Ethan Hughes
36287,Owen Berge
36289,Corban Almen
36297,Arjun Bawa
36300,Ethan MacKenzie
36302,Conner Radke
36303,Rylan Pearce
36304,Nathan Behm
36306,Carter Sotheran
36308,Brady Holtvogt
36327,Caleb Hadland
36333,Cole Temple
36337,Andrew Petruk
48835,Carson Lyons
48841,Mitchell Mars
48860,Peyton Schneider
48861,Vincent Arnone
48863,Cole Mazzoni
48870,Luke Pietila
49091,Timothy Kazda
49314,Charles Menard
49315,Ryan Cameron
49428,Artyom Prima
49692,Eero Hyytiäinen
49906,Tommy Spencer
36328,Lewis Gendron
36330,Olivier Dubois
36344,Jacob Beaulieu
36348,Vince Élie
36351,Blake Pilgrim-Edwards
36353,Alexis Bernier
36387,Anton Linde
36429,Ethan Toms
38434,Étienne Desjardins
38475,Louis-Charles Plourde
38476,Vincent Desjardins
38624,Olivier Filaj
38657,Justin Carbonneau
38673,Chad Bellemare
38772,Jakub Milota
38914,Evan Dépatie
38950,Nicholas Holomego
39401,Kuzma Voronin
39754,Riley Sampson
39772,Donald Hickey
39982,David Bosson
42349,Alexis Lemire
42562,Carlos Händel
43544,Rudy Guimond
1358,Jonathan Marchessault
1368,Derrick Pouliot
1398,Olli Maatta
1400,Evgeni Malkin
1402,Scott Mayfield
1406,Dylan McIlrath
1422,Anthony Stolarz
1427,Jordan Binnington
1431,Pheonix Copley
1433,Antoine Bibeau
1438,Connor Hellebuyck
2014,Anthony Mantha
