season,playerid,gameid,manpower,xg_on_a,xga,ga,sa,toi
20222023,467.0,91119,SH,0.60232587531209,0.979049798101186,0,4,6.64277777777768
20222023,1661.0,91119,EV,1.4457161675673,1.77273775974754,4,23,44.493333333337
20222023,1661.0,91119,PP,0.0,0.0,0,0,6.64277777777768
20222023,1661.0,91119,SH,0.616967142559588,0.377841648994944,0,6,6.59777777777834
20222023,502.0,91120,EV,1.88925216795178,2.00922738717054,1,26,46.490555555559
20222023,502.0,91120,PP,0.0545299340737983,0.0219841549405827,0,2,4.65555555555567
20222023,502.0,91120,SH,1.72865906357765,1.41709996084683,4,12,7.47777777778065
20222023,12127.0,91120,EV,0.454803746193647,0.590166206064167,0,10,46.2727777777812
20222023,12127.0,91120,PP,0.0038608089089393,0.0022190865129232,0,1,7.47777777778065
20222023,12127.0,91120,SH,0.781820863485336,0.612653521820903,2,4,4.65555555555567
20222023,320.0,91121,EV,3.77541440632194,3.32086027145851,1,37,47.5961111111146
20222023,320.0,91121,PP,0.0,0.0,0,0,4.11222222222283
20222023,320.0,91121,SH,1.08892794884741,0.975025774328968,3,15,7.57611111111101
20222023,1266.0,91121,EV,1.97491515730508,1.8334271145286,3,27,47.4794444444484
20222023,1266.0,91121,PP,0.0,0.0,0,0,7.50444444444434
20222023,1266.0,91121,SH,0.900528408586979,0.528538792859763,2,9,4.11222222222283
20222023,746.0,91122,EV,2.24297413101885,1.90121140610426,1,20,43.2411111111122
20222023,746.0,91122,PP,0.436933964490891,0.374579412396997,1,2,11.4044444444433
20222023,746.0,91122,SH,1.0550823956728,0.863190196454525,2,5,0.896111111111672
20222023,860.0,91122,EV,1.4608404240571,2.29149863345083,2,26,43.848333333335
20222023,860.0,91122,PP,0.0,0.0,0,0,1.76611111111166
20222023,860.0,91122,SH,1.91025022324175,1.8369523800211,1,15,11.7266666666667
20222023,1651.0,91123,EV,1.12842663680203,0.973366022808476,0,18,42.757222222225
20222023,1651.0,91123,PP,0.0551069043576717,0.0353216603398323,0,1,7.57888888888816
20222023,1651.0,91123,SH,0.903545118868351,0.899406034033745,2,9,7.151666666665
20222023,2239.0,91123,EV,3.63605031359475,2.81360711919842,4,36,42.9372222222257
20222023,2239.0,91123,PP,0.0066035846248268,0.0091376800555734,0,2,7.151666666665
20222023,2239.0,91123,SH,1.7153056114912,1.39730345248245,2,15,7.57888888888816
