gameid,team,date,gf,ga,g_plusminus,xg_plusminus,poss_value,off_the_puck,gax,gsax,xga,pass_carry_dump,faceoff_def,rookie_F,rookie_D,rookie_G,xgf,xga_target
52145,VGK,2021-10-24,0.0,2.0,-2.0,-2.0,-0.06810335365051812,0.03770430920062696,-0.06853298349608089,-0.12502512702023202,0.17555661090686683,-0.03727374595074807,-0.03082960769977001,0.0,5.560975609756097,0.9024390243902439,3.8467041202820798,2.956211498123599
52146,BUF,2021-10-25,5.0,1.0,4.0,4.0,-0.08154221274761889,0.2413175316758833,-0.12839071815596922,-0.10989444175001534,-0.23047676133449116,-0.051250276335975745,-0.030291936411643103,0.0,5.2926829268292686,0.926829268292683,2.7895144526846614,2.6908897553803413
52147,OTT,2021-10-25,5.0,7.0,-2.0,-2.0,-0.10367021495359219,-0.298094528327448,-0.11272232537479207,-0.18506821211481017,0.11850431906167644,-0.07132760684783504,-0.03234260810575712,0.0,5.317073170731708,1.9024390243902438,3.897472677461334,3.093687346903609
52148,FLA,2021-10-25,5.0,3.0,2.0,2.0,-0.05849129614871978,0.37672920943836014,0.03954694094276928,-0.08945853813395212,0.30498264579300843,-0.034620093581076865,-0.02387120256764289,0.0,5.317073170731708,0.975609756097561,5.092867196653968,1.7352208574302508
52149,NYR,2021-10-25,1.0,5.0,-4.0,-4.0,-0.1048709151231206,0.29244102191267485,-0.19260714766614168,0.05556249695412119,0.06427116077220567,-0.05272040788422553,-0.05215050723889509,0.0,5.146341463414634,0.9024390243902439,3.748392124078241,2.326820404501629
52150,CAR,2021-10-25,4.0,1.0,3.0,3.0,-0.11344322465344293,0.28902017838733235,0.05285659493949768,0.0070970221444826564,-0.0013225596453193245,-0.09109082057733127,-0.022352404076111627,0.0,5.414634146341464,0.9024390243902439,3.0756093692034483,2.4996798709034933
52151,CBJ,2021-10-25,4.0,1.0,3.0,3.0,-0.17675280227195286,-0.33464469447117595,0.00282946229217689,-0.04319794107788641,0.1713277522739204,-0.12848704321770452,-0.048265759054248306,0.0,5.487804878048781,0.926829268292683,3.355826298356991,2.200311559834515
52152,STL,2021-10-25,3.0,0.0,3.0,3.0,-0.019690419633508413,0.2664377063815672,0.1241969135605094,-0.11834373338635562,0.3572325756378479,0.013074940291616844,-0.03276535992512522,0.0,5.414634146341464,1.0,2.6692363575566525,2.33646336884704
52153,NJD,2021-10-26,3.0,5.0,-2.0,-2.0,-0.18457541917431167,-0.2963252165711706,-0.08787860378027704,-0.1832351218741029,-0.03890958926097238,-0.16576137004713043,-0.018814049127181202,0.0,6.463414634146342,1.951219512195122,1.8784599688951866,2.68456923228223
52154,PIT,2021-10-26,1.0,5.0,-4.0,-4.0,-0.10766481288521143,-0.01201951186111513,0.09356503272864244,0.004531208726638508,-0.30968377342502423,-0.08379687810783153,-0.023867934777379873,0.0,5.365853658536586,0.9024390243902439,3.1273486534482835,3.858444090816196
52155,COL,2021-10-26,1.0,3.0,-2.0,-2.0,-0.09920529727869445,-0.08555096109376287,-0.10850593573143527,-0.17232337465285452,-0.2899588374256374,-0.07157842573431096,-0.027626871544383456,0.0,5.365853658536586,0.9024390243902439,2.540936737786983,2.7558037920389333
52156,NSH,2021-10-26,3.0,1.0,2.0,2.0,-0.13454181814223912,0.23074456513921648,-0.09055708450554034,-0.08096318711516842,0.008479904481427665,-0.09453474279501284,-0.040007075347226285,0.0,5.2439024390243905,0.8780487804878049,2.593173882225526,2.6230183615116456
52157,VAN,2021-10-26,2.0,3.0,-1.0,-1.0,-0.06661591148878715,0.4985195340690281,-0.0910193447810687,0.003153758601393497,0.07248374499188857,-0.013125649585420687,-0.05349026190336647,0.0,5.170731707317073,0.8780487804878049,2.223988806363195,2.3135772093664873
52158,ANA,2021-10-26,3.0,4.0,-1.0,-1.0,-0.10128931711588311,0.1537282169425729,-0.02250227452034833,-0.1459571766998258,-0.20297271252004337,-0.0867829293444049,-0.0145063877714782,0.0,5.2682926829268295,0.9024390243902439,2.821448878385124,2.0534172748448376
52159,FLA,2021-10-27,4.0,1.0,3.0,3.0,-0.015243373132344518,0.632995642031153,0.016087055669516168,0.009454860694957892,0.20918417360349414,0.004675091091713095,-0.019918464224057637,0.0,5.170731707317073,0.9024390243902439,3.0974401460262055,2.51553039439023
52160,WSH,2021-10-27,2.0,3.0,-1.0,-1.0,-0.10627052591051817,0.09021695270998745,0.1553866335017319,-0.01182013158940634,-0.12741323062195337,-0.0845611346857054,-0.021709391224812746,0.0,5.121951219512195,0.9024390243902439,2.810298719792622,2.288189867977054
52161,CHI,2021-10-27,2.0,3.0,-1.0,-1.0,-0.10147763539192942,0.26217260016926763,-0.1592525596085164,-0.11505508094931671,0.34820097230520763,-0.0608460034087192,-0.04063163198321021,0.0,5.2439024390243905,0.926829268292683,2.41247568349354,3.2170655501540795
52162,DAL,2021-10-27,2.0,3.0,-1.0,-1.0,-0.173350395440876,-0.44278438542211046,-0.20554449739917907,-0.08298744958216035,0.12708647192421757,-0.14332534814085351,-0.030025047300022464,0.8536585365853658,5.219512195121951,0.9512195121951219,2.5639975450467327,1.978433191543441
52163,EDM,2021-10-27,3.0,5.0,-2.0,-2.0,-0.11837420124902015,0.15745795488503025,0.10806797007090559,-0.0939571411897644,-0.04774965810224265,-0.08389111580729897,-0.034483085441721156,0.0,5.317073170731708,0.926829268292683,2.706181153771471,2.7082598090637466
52164,TBL,2021-10-28,5.0,1.0,4.0,4.0,-0.10285421495365193,0.23511756328334044,-0.14186730109729984,-0.026182050819390373,0.08182127773378092,-0.07230857441781495,-0.030545640535836992,0.0,5.0,0.8536585365853658,2.960875755641614,2.0601628836593564
52165,PIT,2021-10-28,0.0,4.0,-4.0,-4.0,-0.12286539519368897,-0.026106082167559073,0.029916574407535656,-0.15417617162601513,-0.26470612341424726,-0.09605356833637373,-0.02681182685731523,0.0,5.219512195121951,0.975609756097561,3.9244397714501242,2.4329339821124485
