target_season,source_season,playerid,player_name,position,gp,rookie_factor,preseason_value,poss_value,off_the_puck,gax,goalie_gsax
20232024,20222023,159,Drew Doughty,D,87,0.0,0.16952199565283416,0.24659125351874217,2.0625295891954023,-0.0010114303173163835,0.0
20232024,20222023,945,Shea Theodore,D,76,0.0,0.16834424718839297,0.21468200479767297,2.086957437631579,0.0025663179143235897,0.0
20232024,20222023,1140,Shayne Gostisbehere,D,90,0.0,0.1671115628833497,0.23865779087906355,2.0133624566666666,0.027834465046503984,0.0
20232024,20222023,16542,Moritz Seider,D,82,0.0,0.1650417974817822,0.242389131373453,2.014459804268293,-0.01169638405305532,0.0
20232024,20222023,2746,Jakob Chychrun,D,48,0.0,0.16325042891067978,0.1702731500232442,2.088982054166667,-0.01134064315556286,0.0
20232024,20222023,322,Hampus Lindholm,D,87,0.0,0.16298123370879275,0.2273613479770115,1.989880656321839,0.006320313309003749,0.0
20232024,20222023,10042,Calen Addison,D,62,0.0,0.16297427819684598,0.17110396331463587,2.0804665032258063,-0.007520942209896663,0.0
20232024,20222023,2276,Devon Toews,D,87,0.0,0.16286428075474896,0.25732644431317575,1.9936014479310344,-0.04584831202532493,0.0
20232024,20222023,1348,John Klingberg,D,71,0.0,0.1621810042738538,0.19344568520249095,1.989515299577465,0.046429822578022945,0.0
20232024,20222023,1174,Justin Faulk,D,82,0.0,0.1607539917038883,0.2396857290791778,1.932458081463415,0.015969848900922925,0.0
20232024,20222023,13468,Adam Boqvist,D,46,0.0,0.15783768460732384,0.16458182056521742,1.9861442002173912,0.026345811982932867,0.0
20232024,20222023,309,Cam Fowler,D,82,0.0,0.15696935198978773,0.26702244715712536,1.8300456119512194,0.027872519619428066,0.0
20232024,20222023,1606,Erik Gustafsson,D,72,0.0,0.15393234150637047,0.2231643719949721,1.8764562169444443,-0.003757379501621262,0.0
20232024,20222023,2815,Filip Hronek,D,64,0.0,0.1471098727879767,0.24293330858966977,1.70212172828125,0.05179589219278584,0.0
20232024,20222023,465,Alex Pietrangelo,D,94,0.0,0.14468692554790563,0.2637049000558418,1.673011646794149,0.013939692850901044,0.0
20232024,20222023,17381,Owen Power,D,79,0.0,0.14342421945226255,0.2355969429620253,1.7584871416455696,-0.0573906941111699,0.0
20232024,20222023,673,Aaron Ekblad,D,91,0.0,0.13955481169333087,0.18109312884996884,1.7283555514285713,-0.0008050088056201801,0.0
20232024,20222023,18708,Jake Sanderson,D,77,0.0,0.13887259853670966,0.24708493782288324,1.652012942987013,-0.028612297125819704,0.0
20232024,20222023,1825,Noah Hanifin,D,81,0.0,0.13827560648144208,0.28996775958185883,1.5681887548148148,-0.011150036566246635,0.0
